Frame,Time(s),Tracker,x (px),y (px)
262,13.796735,3,1265,509
263,13.849395,1,801,515
263,13.849395,2,1018,512
263,13.849395,3,1264,509
264,13.902054,1,801,515
264,13.902054,2,1018,512
264,13.902054,3,1264,509
265,13.954713,1,801,515
265,13.954713,2,1017,512
265,13.954713,3,1264,509
266,14.007372,1,800,515
266,14.007372,2,1017,512
266,14.007372,3,1264,509
267,14.060032,1,800,515
267,14.060032,2,1017,512
267,14.060032,3,1264,509
268,14.112691,1,799,515
268,14.112691,2,1016,512
268,14.112691,3,1263,509
269,14.16535,1,799,515
269,14.16535,2,1016,512
269,14.16535,3,1263,509
270,14.21801,1,799,515
270,14.21801,2,1016,512
270,14.21801,3,1263,509
271,14.270669,1,798,515
271,14.270669,2,1015,512
271,14.270669,3,1263,509
272,14.323328,1,798,515
272,14.323328,2,1015,512
272,14.323328,3,1262,509
273,14.375987,1,797,515
273,14.375987,2,1015,512
273,14.375987,3,1262,509
274,14.428647,1,797,515
274,14.428647,2,1015,512
274,14.428647,3,1262,509
275,14.481306,1,797,515
275,14.481306,2,1014,512
275,14.481306,3,1262,509
276,14.533965,1,796,515
276,14.533965,2,1014,512
276,14.533965,3,1261,509
277,14.586624,1,796,515
277,14.586624,2,1014,512
277,14.586624,3,1261,509
278,14.639284,1,796,515
278,14.639284,2,1013,512
278,14.639284,3,1261,509
279,14.691943,1,795,515
279,14.691943,2,1013,512
279,14.691943,3,1261,509
280,14.744602,1,795,515
280,14.744602,2,1013,512
280,14.744602,3,1260,509
281,14.797262,1,795,515
281,14.797262,2,1013,512
281,14.797262,3,1260,509
282,14.849921,1,794,515
282,14.849921,2,1012,512
282,14.849921,3,1260,509
283,14.90258,1,794,515
283,14.90258,2,1012,512
283,14.90258,3,1260,509
284,14.955239,1,793,515
284,14.955239,2,1012,512
284,14.955239,3,1259,509
285,15.007899,1,793,515
285,15.007899,2,1011,512
285,15.007899,3,1259,509
286,15.060558,1,793,515
286,15.060558,2,1011,512
286,15.060558,3,1259,509
287,15.113217,1,792,515
287,15.113217,2,1010,512
287,15.113217,3,1259,509
288,15.165876,1,792,515
288,15.165876,2,1010,512
288,15.165876,3,1258,509
289,15.218536,1,791,515
289,15.218536,2,1010,512
289,15.218536,3,1258,509
290,15.271195,1,791,515
290,15.271195,2,1009,512
290,15.271195,3,1258,509
291,15.323854,1,791,515
291,15.323854,2,1009,512
291,15.323854,3,1258,509
292,15.3765135,1,790,515
292,15.3765135,2,1009,512
292,15.3765135,3,1257,509
293,15.429173,1,790,515
293,15.429173,2,1009,512
293,15.429173,3,1257,509
294,15.4818325,1,790,515
294,15.4818325,2,1008,512
294,15.4818325,3,1257,509
295,15.534492,1,789,515
295,15.534492,2,1008,512
295,15.534492,3,1257,509
296,15.587152,1,789,515
296,15.587152,2,1008,512
296,15.587152,3,1256,509
297,15.639811,1,789,515
297,15.639811,2,1008,512
297,15.639811,3,1256,509
298,15.69247,1,788,515
298,15.69247,2,1007,512
298,15.69247,3,1256,509
299,15.745129,1,788,515
299,15.745129,2,1007,512
299,15.745129,3,1256,509
300,15.797789,1,788,515
300,15.797789,2,1007,512
300,15.797789,3,1255,509
301,15.850448,1,787,515
301,15.850448,2,1007,512
301,15.850448,3,1255,509
302,15.903107,1,787,515
302,15.903107,2,1006,512
302,15.903107,3,1255,509
303,15.955766,1,786,515
303,15.955766,2,1006,512
303,15.955766,3,1255,509
304,16.008425,1,786,515
304,16.008425,2,1005,512
304,16.008425,3,1254,509
305,16.061085,1,786,515
305,16.061085,2,1005,512
305,16.061085,3,1254,509
306,16.113745,1,785,515
306,16.113745,2,1005,512
306,16.113745,3,1254,509
307,16.166403,1,785,515
307,16.166403,2,1005,512
307,16.166403,3,1254,509
308,16.219063,1,785,515
308,16.219063,2,1004,512
308,16.219063,3,1253,509
309,16.271723,1,784,515
309,16.271723,2,1004,512
309,16.271723,3,1253,509
310,16.32438,1,784,515
310,16.32438,2,1004,512
310,16.32438,3,1253,509
311,16.37704,1,784,515
311,16.37704,2,1004,512
311,16.37704,3,1253,509
312,16.429699,1,783,515
312,16.429699,2,1003,512
312,16.429699,3,1252,509
313,16.482359,1,783,515
313,16.482359,2,1003,512
313,16.482359,3,1252,509
314,16.535019,1,782,515
314,16.535019,2,1002,512
314,16.535019,3,1252,509
315,16.587677,1,782,515
315,16.587677,2,1002,512
315,16.587677,3,1252,509
316,16.640337,1,782,515
316,16.640337,2,1002,512
316,16.640337,3,1251,509
317,16.692997,1,781,515
317,16.692997,2,1002,512
317,16.692997,3,1251,509
318,16.745655,1,781,515
318,16.745655,2,1001,512
318,16.745655,3,1251,509
319,16.798315,1,781,515
319,16.798315,2,1001,512
319,16.798315,3,1251,509
320,16.850975,1,780,515
320,16.850975,2,1001,512
320,16.850975,3,1250,509
321,16.903633,1,780,515
321,16.903633,2,1000,512
321,16.903633,3,1250,509
322,16.956293,1,780,515
322,16.956293,2,1000,512
322,16.956293,3,1250,509
323,17.008951,1,779,515
323,17.008951,2,1000,512
323,17.008951,3,1250,509
324,17.061611,1,779,515
324,17.061611,2,999,512
324,17.061611,3,1249,509
325,17.114271,1,779,515
325,17.114271,2,999,512
325,17.114271,3,1249,509
326,17.16693,1,778,515
326,17.16693,2,999,512
326,17.16693,3,1249,509
327,17.21959,1,778,515
327,17.21959,2,998,512
327,17.21959,3,1249,509
328,17.27225,1,777,515
328,17.27225,2,998,512
328,17.27225,3,1248,509
329,17.324907,1,777,515
329,17.324907,2,998,512
329,17.324907,3,1248,509
330,17.377567,1,777,515
330,17.377567,2,998,512
330,17.377567,3,1248,509
331,17.430227,1,776,515
331,17.430227,2,997,512
